median: success
median
CYC: 694892
STALL: 187309
BUN: 432164
SYL: 1728668
NOP: 321495
IACC: 507634
IMISS: 179
DRACC: 38565
DRMISS: 12669
DWACC: 21318
DWMISS: 21281

compress: success
compress
CYC: 1058802
STALL: 456853
BUN: 516832
SYL: 2067340
NOP: 469509
IACC: 601994
IMISS: 18273
DRACC: 68147
DRMISS: 14178
DWACC: 42761
DWMISS: 27949

bcnt: success
bcnt
CYC: 1077234
STALL: 472213
BUN: 519674
SYL: 2078708
NOP: 474413
IACC: 605066
IMISS: 19338
DRACC: 69115
DRMISS: 14356
DWACC: 43327
DWMISS: 28181

